Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
USP32P1	ENSG00000188933.14	2.715	23.399	-2.715	5.90e-41
SBSN	ENSG00000189001.10	5.170	0.545	1.998	1.02e-56
FAM111B	ENSG00000189057.10	5.015	0.350	2.156	2.52e-138
H1F0	ENSG00000189060.5	159.724	68.614	1.207	1.03e-62
PLAC9	ENSG00000189129.13	3.065	44.750	-3.492	3.23e-267
UBE2Q2P1	ENSG00000189136.8	1.840	6.540	-1.409	3.00e-88
GRAPL	ENSG00000189152.10	0.370	2.960	-1.531	3.13e-160
FAM47E	ENSG00000189157.13	0.730	3.215	-1.285	2.35e-106
HN1	ENSG00000189159.15	306.617	56.036	2.431	4.16e-248
MAOA	ENSG00000189221.9	30.554	84.926	-1.445	3.22e-63
GJB5	ENSG00000189280.3	28.170	0.215	4.585	5.27e-245
FAM150B	ENSG00000189292.15	0.885	29.180	-4.001	1.61e-227
RRP7A	ENSG00000189306.10	35.740	16.979	1.031	1.48e-85
FAM180A	ENSG00000189320.8	0.380	2.715	-1.429	1.02e-129
S100A14	ENSG00000189334.8	221.558	74.140	1.567	1.40e-31
KAZN	ENSG00000189337.15	6.760	16.435	-1.168	9.03e-69
SLC35E2B	ENSG00000189339.11	11.765	28.075	-1.188	1.97e-75
FAM179A	ENSG00000189350.12	0.530	6.190	-2.232	1.19e-139
KIAA0408	ENSG00000189367.14	0.410	9.460	-2.891	1.50e-241
MMP23B	ENSG00000189409.12	3.430	29.665	-2.791	1.49e-189
ZFP92	ENSG00000189420.8	0.470	2.275	-1.156	2.34e-165
GJB4	ENSG00000189433.5	1.980	0.040	1.519	1.56e-108
KIAA0895L	ENSG00000196123.12	8.060	32.085	-1.869	1.06e-90
HLA-DRB1	ENSG00000196126.10	204.711	489.240	-1.253	1.80e-40
SERPINA3	ENSG00000196136.16	8.940	41.563	-2.098	6.00e-49
S100A4	ENSG00000196154.11	166.438	724.704	-2.116	1.05e-143
FAT4	ENSG00000196159.11	0.460	4.885	-2.011	2.06e-241
TMEM63A	ENSG00000196187.11	15.605	53.889	-1.725	4.43e-136
HRCT1	ENSG00000196196.2	0.470	4.735	-1.964	7.38e-116
MPHOSPH8	ENSG00000196199.13	14.465	36.811	-1.290	4.63e-143
SIRPB2	ENSG00000196209.12	1.450	9.745	-2.133	1.74e-147
RYR1	ENSG00000196218.11	10.795	1.905	2.022	1.44e-90
TUBB	ENSG00000196230.12	561.989	213.552	1.392	7.19e-133
SFTA2	ENSG00000196260.3	9.071	298.657	-4.895	1.59e-150
ZNF471	ENSG00000196263.7	0.435	3.815	-1.747	4.50e-144
ZNF493	ENSG00000196268.11	1.535	7.305	-1.712	1.79e-152
GIMAP5	ENSG00000196329.10	7.180	62.189	-2.949	5.97e-213
NTNG2	ENSG00000196358.10	0.430	2.490	-1.287	5.60e-129
NUDT11	ENSG00000196368.4	3.495	0.480	1.603	1.27e-83
ZNF781	ENSG00000196381.10	0.340	1.730	-1.027	1.17e-97
INCA1	ENSG00000196388.8	0.740	3.285	-1.300	2.60e-207
EVL	ENSG00000196405.12	48.640	103.010	-1.067	9.49e-86
PRTN3	ENSG00000196415.9	0.000	3.035	-2.013	5.54e-115
NPIPB15	ENSG00000196436.8	1.885	8.034	-1.647	7.32e-33
SULT1A1	ENSG00000196502.11	11.915	55.216	-2.122	8.20e-112
TCEAL3	ENSG00000196507.10	17.765	46.680	-1.345	1.43e-105
TPK1	ENSG00000196511.13	1.990	6.060	-1.240	4.67e-187
SPTSSB	ENSG00000196542.8	2.500	0.080	1.696	1.06e-74
MAN2A2	ENSG00000196547.14	20.010	67.801	-1.711	1.09e-118
MME	ENSG00000196549.10	4.020	20.135	-2.074	1.25e-51
SULF2	ENSG00000196562.14	56.455	22.280	1.303	2.26e-48
HBG2	ENSG00000196565.12	0.180	3.470	-1.922	3.73e-104
LAMA2	ENSG00000196569.11	2.665	29.375	-3.051	6.42e-215
XRCC2	ENSG00000196584.2	2.960	0.250	1.664	4.30e-189
HDAC2	ENSG00000196591.11	89.840	41.396	1.099	1.03e-109
MMP1	ENSG00000196611.4	57.745	1.220	4.726	1.15e-133
SDHAF3	ENSG00000196636.7	24.160	8.035	1.478	5.87e-130
TTC30B	ENSG00000196659.9	3.740	1.255	1.072	1.60e-97
PDXDC2P	ENSG00000196696.12	4.535	20.420	-1.952	7.53e-123
ZNF418	ENSG00000196724.12	0.600	3.605	-1.525	8.21e-95
GM2A	ENSG00000196743.8	56.885	23.821	1.222	5.65e-89
S100A2	ENSG00000196754.10	1147.437	5.450	7.476	5.81e-221
ZNF700	ENSG00000196757.7	5.540	13.330	-1.132	6.30e-90
MVB12B	ENSG00000196814.14	3.710	11.460	-1.404	1.26e-102
KIAA1211L	ENSG00000196872.10	2.120	7.220	-1.398	1.02e-68
LAMB3	ENSG00000196878.12	148.348	28.550	2.337	1.43e-101
PDLIM7	ENSG00000196923.13	44.691	130.327	-1.523	2.32e-64
FLNA	ENSG00000196924.14	431.419	1045.479	-1.275	4.15e-68
LAGE3	ENSG00000196976.6	44.575	16.485	1.382	4.18e-147
ZNF763	ENSG00000197054.11	0.685	3.065	-1.271	3.09e-142
ZNF300P1	ENSG00000197083.11	0.160	1.450	-1.079	6.91e-137
SLC25A29	ENSG00000197119.12	14.730	56.515	-1.870	3.29e-114
ZNF682	ENSG00000197124.11	1.375	4.475	-1.205	4.72e-65
SULT1A2	ENSG00000197165.10	0.805	9.110	-2.486	4.12e-178
PSMD12	ENSG00000197170.9	42.410	19.650	1.072	5.11e-102
MAGEA6	ENSG00000197172.10	1.259	0.000	1.176	4.82e-60
MIRLET7BHG	ENSG00000197182.12	0.875	3.590	-1.292	7.93e-78
HIST1H4J	ENSG00000197238.4	12.275	3.870	1.447	1.34e-99
FAM110D	ENSG00000197245.4	0.510	5.780	-2.167	2.09e-248
SERPINA1	ENSG00000197249.12	103.013	464.584	-2.162	1.96e-58
TPSB2	ENSG00000197253.13	27.776	114.233	-2.002	1.03e-70
KANK2	ENSG00000197256.10	16.575	135.302	-2.955	4.19e-259
RAD54B	ENSG00000197275.12	5.055	1.430	1.317	3.70e-130
SYNGAP1	ENSG00000197283.12	4.195	15.519	-1.669	3.45e-116
RAMP2-AS1	ENSG00000197291.8	0.535	2.660	-1.254	1.25e-78
VEPH1	ENSG00000197415.11	1.130	14.675	-2.880	1.06e-148
OGDHL	ENSG00000197444.9	1.120	0.060	1.000	9.64e-72
SPN	ENSG00000197471.11	2.540	12.585	-1.940	2.88e-128
ZNF695	ENSG00000197472.14	2.275	0.060	1.627	1.10e-120
MIB2	ENSG00000197530.12	20.589	60.262	-1.505	1.29e-60
SSPO	ENSG00000197558.11	0.190	1.440	-1.036	5.77e-85
PIGN	ENSG00000197563.9	11.440	4.860	1.086	7.41e-92
HOXA4	ENSG00000197576.13	3.925	12.535	-1.459	2.61e-78
GPX1P1	ENSG00000197582.5	0.945	4.264	-1.437	1.04e-29
ZNF841	ENSG00000197608.11	3.845	9.730	-1.147	8.42e-78
SERPINB2	ENSG00000197632.8	5.730	0.605	2.068	4.15e-44
SERPINB13	ENSG00000197641.11	17.668	0.040	4.166	7.20e-128
SPTAN1	ENSG00000197694.13	68.991	180.105	-1.372	1.91e-145
NMB	ENSG00000197696.9	16.685	6.125	1.312	2.52e-64
HOXC6	ENSG00000197757.7	2.750	0.485	1.336	8.67e-68
MAP1LC3C	ENSG00000197769.5	0.135	3.745	-2.064	4.22e-171
KLHDC1	ENSG00000197776.7	0.620	3.140	-1.354	1.35e-208
OCLN	ENSG00000197822.10	6.630	19.130	-1.400	3.64e-73
FAM49A	ENSG00000197872.11	4.200	13.645	-1.494	3.69e-132
MYO1C	ENSG00000197879.14	43.090	133.810	-1.612	5.04e-170
KIF13B	ENSG00000197892.12	2.910	9.830	-1.470	2.78e-141
HIST1H2BK	ENSG00000197903.7	114.976	53.345	1.094	4.12e-48
SPG7	ENSG00000197912.13	34.825	72.148	-1.030	2.31e-64
ZNF677	ENSG00000197928.10	1.610	8.345	-1.840	1.48e-79
ERO1L	ENSG00000197930.12	58.511	16.495	1.766	1.83e-116
PLCG2	ENSG00000197943.9	7.430	18.330	-1.197	1.68e-103
FCHSD1	ENSG00000197948.10	6.605	23.630	-1.695	2.49e-106
VPS13A	ENSG00000197969.11	4.965	11.125	-1.023	8.71e-76
SNHG12	ENSG00000197989.13	20.659	68.020	-1.672	4.57e-72
MRPL42	ENSG00000198015.12	53.006	20.225	1.347	9.38e-172
ENTPD7	ENSG00000198018.6	6.850	1.970	1.402	4.10e-128
PRIM1	ENSG00000198056.13	11.495	3.865	1.361	1.08e-136
RP11-347C12.1	ENSG00000198064.13	1.640	6.460	-1.499	5.44e-101
SULT1C4	ENSG00000198075.9	0.760	9.280	-2.546	9.38e-163
NUP62CL	ENSG00000198088.10	2.630	0.810	1.004	6.58e-66
SFI1	ENSG00000198089.14	10.690	29.116	-1.365	7.39e-70
TOR4A	ENSG00000198113.2	3.415	12.310	-1.592	8.35e-88
SOWAHC	ENSG00000198142.4	14.690	4.370	1.547	3.58e-111
TFDP1	ENSG00000198176.12	57.579	25.205	1.161	7.19e-112
HSD17B11	ENSG00000198189.10	27.465	63.135	-1.172	2.15e-88
SZT2	ENSG00000198198.13	6.380	14.745	-1.093	5.17e-109
QRICH1	ENSG00000198218.10	27.574	57.819	-1.042	1.37e-108
RP11-98J23.2	ENSG00000198237.8	1.270	3.620	-1.025	1.98e-65
PEG3	ENSG00000198300.12	0.180	1.565	-1.120	8.26e-90
FAM109A	ENSG00000198324.13	5.425	11.870	-1.002	1.67e-87
HYLS1	ENSG00000198331.10	4.545	1.590	1.098	2.41e-117
ITSN2	ENSG00000198399.14	14.650	42.260	-1.467	5.66e-165
MGEA5	ENSG00000198408.13	34.781	95.121	-1.426	3.96e-119
ZNF69	ENSG00000198429.9	0.810	3.425	-1.290	1.18e-118
TPM2	ENSG00000198467.13	87.814	318.676	-1.848	5.22e-93
SH3BGRL2	ENSG00000198478.7	4.300	10.550	-1.124	1.64e-60
MAFK	ENSG00000198517.9	15.670	63.700	-1.956	1.76e-130
GPN1	ENSG00000198522.13	47.295	21.265	1.117	6.20e-156
PLN	ENSG00000198523.5	1.630	10.910	-2.179	5.79e-119
ITGBL1	ENSG00000198542.13	9.370	22.355	-1.171	1.33e-35
WDHD1	ENSG00000198554.11	7.705	1.525	1.786	5.88e-159
PPIAP22	ENSG00000198618.5	340.662	65.323	2.365	3.43e-211
MDM4	ENSG00000198625.12	5.670	15.335	-1.292	6.24e-95
RYR2	ENSG00000198626.15	0.320	5.120	-2.213	5.81e-191
TTC37	ENSG00000198677.10	12.045	25.836	-1.041	5.29e-107
PAPSS2	ENSG00000198682.12	9.210	71.149	-2.821	4.88e-195
MT-ND6	ENSG00000198695.2	959.506	4462.077	-2.216	9.16e-72
UNC13B	ENSG00000198722.12	7.290	38.855	-2.265	6.75e-190
MT-CYB	ENSG00000198727.2	2652.615	6701.646	-1.337	1.81e-68
PPP1R14C	ENSG00000198729.4	22.434	8.175	1.353	1.56e-38
PLXNB3	ENSG00000198753.11	8.710	3.645	1.064	1.40e-35
MT-ND2	ENSG00000198763.3	3289.949	9478.545	-1.526	9.21e-78
RCSD1	ENSG00000198771.10	3.585	13.525	-1.664	3.71e-125
RASSF9	ENSG00000198774.4	5.085	1.840	1.099	3.88e-33
MT-ND5	ENSG00000198786.2	678.567	2488.653	-1.873	9.27e-90
SCAMP5	ENSG00000198794.11	8.905	1.945	1.750	7.81e-111
ZNF521	ENSG00000198795.10	1.710	5.055	-1.160	9.61e-68
PAX9	ENSG00000198807.12	6.480	0.280	2.547	3.09e-129
GK	ENSG00000198814.12	7.220	17.859	-1.198	8.10e-92
GJC2	ENSG00000198835.3	0.470	2.610	-1.296	4.22e-164
OPA1	ENSG00000198836.8	42.601	13.365	1.602	6.85e-137
MT-ND3	ENSG00000198840.2	4156.777	8548.170	-1.040	1.74e-45
RUSC2	ENSG00000198853.11	4.210	16.240	-1.726	2.49e-156
GRK5	ENSG00000198873.11	6.560	64.487	-3.115	2.32e-287
SFMBT2	ENSG00000198879.11	1.315	3.775	-1.044	4.07e-109
MT-ND4	ENSG00000198886.2	5218.971	12508.315	-1.261	9.32e-47
MT-ND1	ENSG00000198888.2	2291.457	7975.448	-1.799	3.37e-87
PRMT6	ENSG00000198890.7	9.840	4.390	1.008	9.62e-85
MT-ATP6	ENSG00000198899.2	5462.137	14776.837	-1.436	1.65e-60
PRC1	ENSG00000198901.13	56.275	8.835	2.542	5.52e-204
MAP3K3	ENSG00000198909.7	9.030	36.394	-1.898	1.23e-224
GPRASP1	ENSG00000198932.12	0.730	5.405	-1.888	1.61e-178
TBKBP1	ENSG00000198933.9	4.605	11.610	-1.170	1.11e-96
TGM2	ENSG00000198959.11	42.485	432.572	-3.318	1.11e-189
SNORA31	ENSG00000199477.1	0.000	8.714	-3.280	1.18e-44
INF2	ENSG00000203485.12	30.895	73.671	-1.227	1.86e-86
FAM83H-AS1	ENSG00000203499.10	31.745	3.835	2.760	1.33e-182
SAMD5	ENSG00000203727.3	0.930	2.960	-1.037	4.10e-42
SPRR2E	ENSG00000203785.8	12.540	0.280	3.403	1.57e-75
PPAPDC1A	ENSG00000203805.10	2.490	0.130	1.627	6.20e-113
SOX18	ENSG00000203883.6	2.855	25.970	-2.807	2.28e-184
LDLRAD1	ENSG00000203985.10	0.315	1.670	-1.022	3.28e-30
INPP5B	ENSG00000204084.12	5.930	17.885	-1.446	4.86e-147
NHSL2	ENSG00000204131.8	0.625	3.460	-1.457	1.34e-183
GGTA1P	ENSG00000204136.10	3.200	8.865	-1.232	6.50e-65
GPRIN2	ENSG00000204175.5	1.725	11.400	-2.186	1.23e-134
SYT15	ENSG00000204176.13	0.730	7.160	-2.238	4.71e-177
RXRB	ENSG00000204231.10	23.100	52.124	-1.140	2.34e-96
HNRNPCP2	ENSG00000204253.4	18.220	1.855	2.751	7.03e-277
HLA-DMA	ENSG00000204257.14	60.856	172.714	-1.490	1.42e-79
PSMB8-AS1	ENSG00000204261.8	15.285	33.575	-1.086	6.35e-71
NOTCH4	ENSG00000204301.6	3.800	55.529	-3.558	3.34e-288
PBX2	ENSG00000204304.11	33.579	74.104	-1.119	8.76e-88
ERICH2	ENSG00000204334.7	0.915	4.815	-1.602	9.68e-108
SLC44A4	ENSG00000204385.10	4.310	13.950	-1.493	2.61e-36
LSM2	ENSG00000204392.10	77.910	38.445	1.000	1.62e-103
LY6G5C	ENSG00000204428.12	2.060	5.350	-1.053	6.04e-110
LST1	ENSG00000204482.10	21.834	52.499	-1.228	2.43e-68
MICA	ENSG00000204520.12	15.360	35.951	-1.175	2.70e-76
HLA-C	ENSG00000204525.14	580.357	1183.873	-1.027	1.40e-49
LILRB3	ENSG00000204577.11	3.890	46.238	-3.272	1.02e-210
LRCOL1	ENSG00000204583.9	0.070	4.315	-2.312	1.03e-214
HLA-E	ENSG00000204592.8	287.137	1057.908	-1.878	4.18e-165
HLA-J	ENSG00000204622.10	0.615	2.515	-1.122	1.82e-65
TBC1D8	ENSG00000204634.12	13.050	31.226	-1.198	9.45e-60
HLA-F	ENSG00000204642.13	83.106	240.284	-1.520	8.03e-81
FAM153C	ENSG00000204677.10	0.500	2.845	-1.358	1.08e-49
GABBR1	ENSG00000204681.10	8.435	46.780	-2.340	3.53e-117
RANBP17	ENSG00000204764.12	1.880	4.800	-1.010	6.87e-76
ZNF204P	ENSG00000204789.4	2.725	8.070	-1.284	1.80e-88
IGFL2	ENSG00000204866.8	4.065	0.100	2.203	2.24e-102
GPR20	ENSG00000204882.3	0.100	1.340	-1.089	4.49e-191
MZT1	ENSG00000204899.5	15.765	6.220	1.215	1.12e-131
UQCC3	ENSG00000204922.4	14.810	5.870	1.202	8.56e-140
LRRC10B	ENSG00000204950.3	0.320	1.860	-1.115	3.20e-43
PKHD1L1	ENSG00000205038.11	0.565	8.405	-2.587	1.36e-189
LGALS7	ENSG00000205076.4	10.595	0.215	3.254	8.25e-97
TMEM240	ENSG00000205090.8	0.930	3.475	-1.213	6.63e-99
LGR4	ENSG00000205213.13	9.410	3.030	1.369	1.90e-90
TMEM170B	ENSG00000205269.5	0.830	3.420	-1.272	1.40e-164
SAP25	ENSG00000205307.10	1.430	14.075	-2.633	1.04e-75
TECPR1	ENSG00000205356.9	6.440	22.344	-1.650	1.32e-154
MT1A	ENSG00000205362.10	1.085	41.425	-4.347	3.64e-151
MT1M	ENSG00000205364.3	2.305	76.976	-4.560	3.17e-216
KRT6A	ENSG00000205420.10	2144.387	1.495	9.748	2.78e-256
EXOC3L4	ENSG00000205436.7	0.830	5.375	-1.801	6.95e-69
RGL3	ENSG00000205517.12	1.625	35.615	-3.802	9.30e-207
STAG3L1	ENSG00000205583.13	2.755	6.975	-1.087	2.90e-66
RP11-1212A22.1	ENSG00000205746.9	7.805	36.046	-2.073	6.24e-98
ZNF316	ENSG00000205903.6	9.595	21.630	-1.095	7.83e-65
HN1L	ENSG00000206053.12	61.530	19.616	1.601	6.11e-186
SERPINB4	ENSG00000206073.10	7.140	0.040	2.968	9.43e-88
SERPINB5	ENSG00000206075.13	74.320	0.140	6.046	5.07e-294
ZDHHC11B	ENSG00000206077.10	1.970	14.430	-2.377	5.49e-107
HERC2P9	ENSG00000206149.10	8.800	32.080	-1.755	1.37e-102
HBA1	ENSG00000206172.8	9.430	567.980	-5.770	2.05e-210
HCG27	ENSG00000206344.6	0.765	5.945	-1.976	4.76e-149
H1FX-AS1	ENSG00000206417.8	1.400	6.630	-1.669	1.25e-108
VGLL3	ENSG00000206538.7	1.080	13.640	-2.815	7.54e-214
THUMPD3-AS1	ENSG00000206573.8	15.040	31.755	-1.030	4.37e-46
RNVU1-7	ENSG00000206585.1	1.084	0.000	1.060	3.61e-3
RNU1-106P	ENSG00000207110.1	2.060	0.000	1.614	2.24e-15
SNORA70	ENSG00000207165.1	0.000	5.860	-2.778	4.18e-19
GPX3	ENSG00000211445.11	52.245	2408.383	-5.500	4.50e-298
SACM1L	ENSG00000211456.10	13.060	28.510	-1.070	9.53e-146
TSN	ENSG00000211460.11	43.609	20.535	1.051	7.35e-131
IGKC	ENSG00000211592.6	11266.876	2056.249	2.453	3.47e-40
IGKV4-1	ENSG00000211598.2	256.461	42.439	2.567	2.00e-41
IGKV5-2	ENSG00000211599.2	2.820	0.875	1.027	4.16e-18
IGKV6-21	ENSG00000211611.2	11.425	2.615	1.781	1.15e-24
IGKV3D-20	ENSG00000211625.2	12.845	2.055	2.180	8.68e-41
IGKV3D-11	ENSG00000211632.3	7.520	0.875	2.184	5.70e-57
IGLV4-69	ENSG00000211637.2	33.255	9.285	1.736	5.69e-24
IGLV8-61	ENSG00000211638.2	19.560	7.630	1.252	5.98e-14
IGLV4-60	ENSG00000211639.2	4.045	1.495	1.016	2.35e-14
IGLV6-57	ENSG00000211640.3	42.025	8.750	2.142	6.99e-36
IGLV1-51	ENSG00000211644.2	181.861	45.776	1.967	3.41e-21
IGLV1-47	ENSG00000211648.2	130.033	29.983	2.080	1.72e-29
IGLV7-46	ENSG00000211649.3	21.035	7.375	1.396	7.31e-18
IGLV5-45	ENSG00000211650.2	10.185	3.485	1.318	8.39e-17
IGLV1-44	ENSG00000211651.3	127.782	32.155	1.958	1.76e-29
IGLV7-43	ENSG00000211652.2	18.699	5.695	1.557	1.11e-21
IGLV1-40	ENSG00000211653.2	274.383	53.461	2.338	6.57e-31
IGLV1-36	ENSG00000211655.3	9.855	2.550	1.612	5.15e-23
IGLV3-27	ENSG00000211658.2	10.625	2.915	1.570	1.42e-20
IGLV3-25	ENSG00000211659.2	179.115	27.606	2.655	3.70e-42
IGLV2-23	ENSG00000211660.3	159.586	28.844	2.428	6.26e-36
IGLV3-21	ENSG00000211662.2	127.698	19.700	2.636	8.94e-43
IGLV3-19	ENSG00000211663.2	169.876	28.334	2.542	3.20e-36
IGLV2-14	ENSG00000211666.2	334.473	94.972	1.806	1.96e-18
IGLV2-11	ENSG00000211668.2	131.566	37.229	1.794	2.91e-20
IGLV3-10	ENSG00000211669.2	60.060	15.474	1.890	2.63e-18
IGLV3-9	ENSG00000211670.2	11.485	2.615	1.788	1.34e-29
IGLV3-1	ENSG00000211673.2	180.117	33.145	2.407	1.50e-35
IGLC1	ENSG00000211675.2	1227.280	269.221	2.184	8.96e-30
IGLC2	ENSG00000211677.2	3181.628	652.325	2.284	4.42e-32
IGLC3	ENSG00000211679.2	1616.378	314.180	2.359	3.05e-33
IGLC7	ENSG00000211685.3	16.095	4.540	1.626	1.06e-22
TRGC1	ENSG00000211689.6	0.485	2.495	-1.235	3.72e-97
IGHG4	ENSG00000211892.3	348.834	19.355	4.103	9.68e-87
IGHG2	ENSG00000211893.3	929.717	113.996	3.017	1.34e-50
IGHG1	ENSG00000211896.6	6227.338	679.956	3.193	3.12e-56
IGHG3	ENSG00000211897.7	806.091	133.759	2.582	2.61e-44
IGHM	ENSG00000211899.7	239.834	111.960	1.092	1.01e-8
IGHV6-1	ENSG00000211933.2	13.455	2.890	1.894	2.41e-37
IGHV1-2	ENSG00000211934.3	52.870	10.694	2.204	6.39e-28
IGHV1-3	ENSG00000211935.3	3.195	0.155	1.861	6.98e-17
IGHV2-5	ENSG00000211937.3	51.305	15.450	1.669	1.74e-18
IGHV3-11	ENSG00000211941.3	58.096	11.745	2.213	6.65e-31
IGHV3-13	ENSG00000211942.3	6.670	1.995	1.357	2.78e-23
IGHV3-15	ENSG00000211943.2	61.462	14.600	2.001	1.92e-27
IGHV1-18	ENSG00000211945.2	99.860	14.745	2.679	1.77e-47
IGHV3-20	ENSG00000211946.3	2.795	0.635	1.215	5.63e-25
IGHV3-21	ENSG00000211947.2	122.627	17.255	2.760	1.71e-43
IGHV3-23	ENSG00000211949.3	192.704	37.784	2.320	1.19e-33
IGHV1-24	ENSG00000211950.2	41.730	5.200	2.785	2.99e-52
IGHV2-26	ENSG00000211951.2	18.845	3.070	2.286	3.16e-36
IGHV4-28	ENSG00000211952.3	4.595	1.760	1.019	4.59e-20
IGHV3-33	ENSG00000211955.2	115.060	26.089	2.099	7.06e-27
IGHV4-34	ENSG00000211956.2	59.659	10.539	2.394	1.59e-35
IGHV4-39	ENSG00000211959.2	74.490	16.825	2.082	3.74e-31
IGHV1-46	ENSG00000211962.2	20.205	3.620	2.198	6.04e-38
IGHV3-48	ENSG00000211964.3	10.495	1.755	2.061	2.01e-35
IGHV3-49	ENSG00000211965.3	25.000	5.025	2.109	6.25e-34
IGHV5-51	ENSG00000211966.2	124.823	17.974	2.729	7.42e-45
IGHV3-53	ENSG00000211967.3	9.205	2.125	1.707	3.32e-31
IGHV1-58	ENSG00000211968.3	3.585	0.595	1.523	6.34e-33
IGHV4-61	ENSG00000211970.3	23.735	6.920	1.643	1.32e-22
IGHV3-66	ENSG00000211972.2	6.195	2.080	1.224	2.15e-19
IGHV1-69	ENSG00000211973.2	24.940	2.585	2.855	6.89e-47
IGHV2-70	ENSG00000211974.3	6.230	0.860	1.959	1.72e-28
IGHV3-73	ENSG00000211976.2	15.620	3.845	1.778	3.81e-32
SNORD17	ENSG00000212232.1	3.280	1.105	1.024	8.34e-36
LINC01089	ENSG00000212694.8	7.250	27.750	-1.801	8.39e-76
MT-ND4L	ENSG00000212907.2	3675.818	8171.300	-1.152	3.01e-47
TCTEX1D2	ENSG00000213123.10	25.560	8.165	1.535	1.53e-79
YWHAZP4	ENSG00000213131.3	3.895	0.295	1.918	9.14e-229
RP11-64B16.2	ENSG00000213144.2	0.990	4.340	-1.424	2.73e-133
RP11-641D5.1	ENSG00000213178.3	289.937	111.507	1.371	2.32e-119
TRIM59	ENSG00000213186.7	7.095	1.590	1.644	2.23e-155
GIMAP1	ENSG00000213203.2	0.980	9.225	-2.369	2.35e-263
YWHAZP5	ENSG00000213260.3	5.640	0.310	2.342	5.79e-218
LTC4S	ENSG00000213316.9	1.670	10.624	-2.122	2.74e-191
RPS7P11	ENSG00000213326.4	5.570	1.610	1.332	5.46e-101
MXD3	ENSG00000213347.10	6.180	15.195	-1.174	3.14e-43
GSTM2	ENSG00000213366.12	36.415	99.749	-1.429	1.84e-22
LCAT	ENSG00000213398.7	4.885	51.355	-3.153	1.83e-195
SIPA1	ENSG00000213445.8	27.745	61.665	-1.124	1.46e-75
TMEM110	ENSG00000213533.11	6.860	15.365	-1.058	4.56e-140
SLX1A-SULT1A3	ENSG00000213599.9	5.140	13.384	-1.228	1.12e-39
LBH	ENSG00000213626.11	52.064	125.360	-1.252	5.92e-81
SULT1A4	ENSG00000213648.10	5.350	19.410	-1.684	5.72e-99
GPSM3	ENSG00000213654.9	20.090	69.230	-1.736	1.43e-136
LAT	ENSG00000213658.10	8.135	23.145	-1.402	3.04e-90
OLA1P1	ENSG00000213790.2	1.480	0.170	1.084	4.72e-217
KLRK1	ENSG00000213809.8	2.345	10.700	-1.806	8.11e-112
UBD	ENSG00000213886.3	37.676	4.310	2.865	1.88e-91
GALT	ENSG00000213930.11	19.580	41.460	-1.045	1.57e-65
RP11-314A20.1	ENSG00000213939.4	2.265	0.505	1.117	5.70e-109
ITGA1	ENSG00000213949.8	4.130	31.756	-2.675	1.30e-225
ZNF90	ENSG00000213988.9	0.650	3.270	-1.372	6.31e-68
GANC	ENSG00000214013.9	8.325	21.635	-1.279	5.22e-137
TTLL3	ENSG00000214021.15	7.360	56.279	-2.776	1.47e-175
TSPAN4	ENSG00000214063.10	24.445	128.974	-2.353	8.17e-185
PRCD	ENSG00000214140.10	1.440	6.010	-1.523	1.64e-104
PLEKHM1P	ENSG00000214176.9	5.565	21.245	-1.761	8.20e-123
PTMAP5	ENSG00000214182.5	9.470	3.580	1.193	2.54e-55
HNRNPA1P10	ENSG00000214223.4	7.645	2.350	1.368	1.33e-121
SCART1	ENSG00000214279.12	0.495	2.080	-1.043	6.96e-71
RPS3AP26	ENSG00000214389.2	16.120	7.235	1.056	8.42e-54
LCNL1	ENSG00000214402.6	0.090	3.535	-2.057	2.86e-175
PLIN5	ENSG00000214456.8	0.580	10.280	-2.836	6.06e-204
SEC14L6	ENSG00000214491.8	0.365	5.770	-2.310	1.08e-174
KRT42P	ENSG00000214514.7	1.940	0.150	1.354	8.20e-63
PPME1	ENSG00000214517.8	42.150	19.625	1.065	2.85e-105
MEG3	ENSG00000214548.14	4.440	41.314	-2.959	2.01e-95
HMGN2P15	ENSG00000214578.5	0.935	5.275	-1.697	1.90e-81
RP11-27I1.4	ENSG00000214654.6	3.265	1.090	1.029	1.60e-84
ZSWIM8	ENSG00000214655.10	42.790	123.079	-1.503	2.82e-125
SEPT7P2	ENSG00000214765.8	5.140	19.010	-1.704	3.16e-130
MS4A4E	ENSG00000214787.8	0.265	2.030	-1.260	6.49e-118
RP11-480I12.5	ENSG00000214796.8	2.840	0.900	1.015	6.34e-57
HLA-F-AS1	ENSG00000214922.9	1.275	5.415	-1.496	1.02e-126
NEURL4	ENSG00000215041.9	8.545	22.440	-1.296	4.98e-78
GOLGA8B	ENSG00000215252.11	9.950	56.982	-2.405	5.26e-91
MIR99AHG	ENSG00000215386.10	2.040	5.170	-1.021	1.09e-36
NPEPL1	ENSG00000215440.11	21.105	55.170	-1.345	6.33e-75
GUSBP9	ENSG00000215630.6	1.255	5.580	-1.545	1.46e-111
RP13-104F24.2	ENSG00000215769.8	2.745	23.400	-2.704	2.19e-168
FAM72D	ENSG00000215784.5	2.765	0.450	1.377	7.69e-143
WI2-1896O14.1	ENSG00000215861.5	1.955	8.025	-1.611	2.90e-112
MMP23A	ENSG00000215914.4	2.805	15.660	-2.130	1.57e-118
RP1-152L7.5	ENSG00000216775.2	6.170	1.735	1.390	2.34e-54
